product_id,general_id,sku,product_name,price,size,color,description,image_list,url
56399,elise_56399,FF2309062BKLABK,JUPE LƯỚI LEN ĐEN KẺ Ô XẺ BÊN,1.098.000 VND,"['S', 'M', 'L']",,,"{'001_JUPE LƯỚI LEN ĐEN KẺ Ô XẺ BÊN': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309062bklabk1.jpg', '002_JUPE LƯỚI LEN ĐEN KẺ Ô XẺ BÊN': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309062bklabk.jpg', '003_JUPE LƯỚI LEN ĐEN KẺ Ô XẺ BÊN': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309062bklabk4.jpg', '004_JUPE LƯỚI LEN ĐEN KẺ Ô XẺ BÊN': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309062bklabk2.jpg', '005_JUPE LƯỚI LEN ĐEN KẺ Ô XẺ BÊN': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309062bklabk5.jpg', '006_JUPE LƯỚI LEN ĐEN KẺ Ô XẺ BÊN': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309062bklabk3.jpg'}",
56394,elise_56394,FF2306187TLWOBK,SM ĐEN CỔ ĐỨC NẮP TÚI,1.098.000 VND,"['S', 'M', 'L']",,,"{'001_SM ĐEN CỔ ĐỨC NẮP TÚI': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2306187tlwobk4.jpg', '002_SM ĐEN CỔ ĐỨC NẮP TÚI': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2306187tlwobk3.jpg', '003_SM ĐEN CỔ ĐỨC NẮP TÚI': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2306187tlwobk.jpg', '004_SM ĐEN CỔ ĐỨC NẮP TÚI': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2306187tlwobk5.jpg', '005_SM ĐEN CỔ ĐỨC NẮP TÚI': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2306187tlwobk2.jpg', '006_SM ĐEN CỔ ĐỨC NẮP TÚI': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2306187tlwobk1.jpg'}",
56389,elise_56389,FF2309033BPDEGE,QUẦN JEANS XANH MATCHA ỐNG SUÔNG,998.000 VND,"['S', 'M', 'L']",,,"{'001_QUẦN JEANS XANH MATCHA ỐNG SUÔNG': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309033bpdege.jpg', '002_QUẦN JEANS XANH MATCHA ỐNG SUÔNG': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309033bpdege1.jpg', '003_QUẦN JEANS XANH MATCHA ỐNG SUÔNG': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309033bpdege2.jpg', '004_QUẦN JEANS XANH MATCHA ỐNG SUÔNG': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309033bpdege4.jpg', '005_QUẦN JEANS XANH MATCHA ỐNG SUÔNG': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309033bpdege3.jpg'}",
56384,elise_56384,FF2311088TVLACR,GILE REN HOA KEM TÚI ỐP,1.298.000 VND,"['S', 'M', 'L']",,,"{'001_GILE REN HOA KEM TÚI ỐP': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2311088tvlacr2.jpg', '002_GILE REN HOA KEM TÚI ỐP': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2311088tvlacr3.jpg', '003_GILE REN HOA KEM TÚI ỐP': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2311088tvlacr4.jpg', '004_GILE REN HOA KEM TÚI ỐP': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2311088tvlacr1.jpg', '005_GILE REN HOA KEM TÚI ỐP': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2311088tvlacr.jpg'}",
56379,elise_56379,FS2311092BKWOKK,CHÂN VÁY KAKI BE XÒE BOM GẤU,1.298.000 VND,"['S', 'M', 'L']",,,"{'001_CHÂN VÁY KAKI BE XÒE BOM GẤU': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/s/fs2311092bkwokk1.jpg', '002_CHÂN VÁY KAKI BE XÒE BOM GẤU': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/s/fs2311092bkwokk2.jpg', '003_CHÂN VÁY KAKI BE XÒE BOM GẤU': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/s/fs2311092bkwokk4.jpg', '004_CHÂN VÁY KAKI BE XÒE BOM GẤU': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/s/fs2311092bkwokk5.jpg', '005_CHÂN VÁY KAKI BE XÒE BOM GẤU': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/s/fs2311092bkwokk.jpg', '006_CHÂN VÁY KAKI BE XÒE BOM GẤU': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/s/fs2311092bkwokk3.jpg'}",
56374,elise_56374,FF2307219TNSIBK,ÁO 2 DÂY LỤA ĐEN DÂY XÍCH CỔ ĐỔ,898.000 VND,"['S', 'M', 'L']",,,"{'001_ÁO 2 DÂY LỤA ĐEN DÂY XÍCH CỔ ĐỔ': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2307219tnsibk5.jpg', '002_ÁO 2 DÂY LỤA ĐEN DÂY XÍCH CỔ ĐỔ': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2307219tnsibk2.jpg', '003_ÁO 2 DÂY LỤA ĐEN DÂY XÍCH CỔ ĐỔ': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2307219tnsibk4.jpg', '004_ÁO 2 DÂY LỤA ĐEN DÂY XÍCH CỔ ĐỔ': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2307219tnsibk3.jpg', '005_ÁO 2 DÂY LỤA ĐEN DÂY XÍCH CỔ ĐỔ': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2307219tnsibk1.jpg', '006_ÁO 2 DÂY LỤA ĐEN DÂY XÍCH CỔ ĐỔ': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2307219tnsibk.jpg'}",
56369,elise_56369,FF2309029BPDEPL,QUẦN JEANS HỌA TIẾT SẦN,1.098.000 VND,"['S', 'M', 'L']",,,"{'001_QUẦN JEANS HỌA TIẾT SẦN': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309029bpdepl.jpg', '002_QUẦN JEANS HỌA TIẾT SẦN': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309029bpdepl1.jpg', '003_QUẦN JEANS HỌA TIẾT SẦN': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309029bpdepl5.jpg', '004_QUẦN JEANS HỌA TIẾT SẦN': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309029bpdepl4.jpg', '005_QUẦN JEANS HỌA TIẾT SẦN': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309029bpdepl3.jpg', '006_QUẦN JEANS HỌA TIẾT SẦN': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309029bpdepl2.jpg'}",
56364,elise_56364,FF2310057TLLAPB,SƠ MI REN ĐEN CỔ ĐỨC,1.198.000 VND,"['S', 'M', 'L']",,,"{'001_SƠ MI REN ĐEN CỔ ĐỨC': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2310057tllapb4.jpg', '002_SƠ MI REN ĐEN CỔ ĐỨC': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2310057tllapb5.jpg', '003_SƠ MI REN ĐEN CỔ ĐỨC': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2310057tllapb3.jpg', '004_SƠ MI REN ĐEN CỔ ĐỨC': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2310057tllapb.jpg', '005_SƠ MI REN ĐEN CỔ ĐỨC': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2310057tllapb2.jpg', '006_SƠ MI REN ĐEN CỔ ĐỨC': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2310057tllapb1.jpg'}",
56359,elise_56359,FF2309044DIWOBL,ĐẦM CỔ ĐỨC XANH TAY LỬNG,2.098.000 VND,"['S', 'M', 'L']",,,"{'001_ĐẦM CỔ ĐỨC XANH TAY LỬNG': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309044diwobl1.jpg', '002_ĐẦM CỔ ĐỨC XANH TAY LỬNG': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309044diwobl.jpg', '003_ĐẦM CỔ ĐỨC XANH TAY LỬNG': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309044diwobl3.jpg', '004_ĐẦM CỔ ĐỨC XANH TAY LỬNG': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309044diwobl2.jpg', '005_ĐẦM CỔ ĐỨC XANH TAY LỬNG': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309044diwobl4.jpg', '006_ĐẦM CỔ ĐỨC XANH TAY LỬNG': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/f/ff2309044diwobl5.jpg'}",
56354,elise_56354,FS2309045TSWOBE,SM SẠN BE XẾP GẤU LY CHÉO,1.198.000 VND,"['S', 'M', 'L']",,,"{'001_SM SẠN BE XẾP GẤU LY CHÉO': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/s/fs2309045tswobe2.jpg', '002_SM SẠN BE XẾP GẤU LY CHÉO': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/s/fs2309045tswobe3.jpg', '003_SM SẠN BE XẾP GẤU LY CHÉO': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/s/fs2309045tswobe.jpg', '004_SM SẠN BE XẾP GẤU LY CHÉO': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/s/fs2309045tswobe4.jpg', '005_SM SẠN BE XẾP GẤU LY CHÉO': 'https://elise.vn/media/catalog/product/cache/bb52e54e5ec1828d48ae8bf7c98f9f69/f/s/fs2309045tswobe1.jpg'}",
