general_id,product_id,sku,url,product_name,price,image_list
elise_56399,56399,ff2309062bklabk,https://elise.vn/ff2309062bklabk.html,JUPE LƯỚI LEN ĐEN KẺ Ô XẺ BÊN,1.098.000 VND,{'001_JUPE LƯỚI LEN ĐEN KẺ Ô XẺ BÊN': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2309062bklabk1.jpg'}
elise_56394,56394,ff2306187tlwobk,https://elise.vn/ff2306187tlwobk.html,SM ĐEN CỔ ĐỨC NẮP TÚI,1.098.000 VND,{'001_SM ĐEN CỔ ĐỨC NẮP TÚI': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2306187tlwobk4.jpg'}
elise_56389,56389,ff2309033bpdege,https://elise.vn/ff2309033bpdege.html,QUẦN JEANS XANH MATCHA ỐNG SUÔNG,998.000 VND,{'001_QUẦN JEANS XANH MATCHA ỐNG SUÔNG': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2309033bpdege.jpg'}
elise_56384,56384,ff2311088tvlacr,https://elise.vn/ff2311088tvlacr.html,GILE REN HOA KEM TÚI ỐP,1.298.000 VND,{'001_GILE REN HOA KEM TÚI ỐP': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2311088tvlacr2.jpg'}
elise_56379,56379,fs2311092bkwokk,https://elise.vn/fs2311092bkwokk.html,CHÂN VÁY KAKI BE XÒE BOM GẤU,1.298.000 VND,{'001_CHÂN VÁY KAKI BE XÒE BOM GẤU': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/s/fs2311092bkwokk1.jpg'}
elise_56374,56374,ff2307219tnsibk,https://elise.vn/ff2307219tnsibk.html,ÁO 2 DÂY LỤA ĐEN DÂY XÍCH CỔ ĐỔ,898.000 VND,{'001_ÁO 2 DÂY LỤA ĐEN DÂY XÍCH CỔ ĐỔ': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2307219tnsibk5.jpg'}
elise_56369,56369,ff2309029bpdepl,https://elise.vn/ff2309029bpdepl.html,QUẦN JEANS HỌA TIẾT SẦN,1.098.000 VND,{'001_QUẦN JEANS HỌA TIẾT SẦN': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2309029bpdepl.jpg'}
elise_56364,56364,ff2310057tllapb,https://elise.vn/ff2310057tllapb.html,SƠ MI REN ĐEN CỔ ĐỨC,1.198.000 VND,{'001_SƠ MI REN ĐEN CỔ ĐỨC': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2310057tllapb4.jpg'}
elise_56359,56359,ff2309044diwobl,https://elise.vn/ff2309044diwobl.html,ĐẦM CỔ ĐỨC XANH TAY LỬNG,2.098.000 VND,{'001_ĐẦM CỔ ĐỨC XANH TAY LỬNG': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/f/ff2309044diwobl1.jpg'}
elise_56354,56354,fs2309045tswobe,https://elise.vn/fs2309045tswobe.html,SM SẠN BE XẾP GẤU LY CHÉO,1.198.000 VND,{'001_SM SẠN BE XẾP GẤU LY CHÉO': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/s/fs2309045tswobe2.jpg'}
elise_56349,56349,fs2309046bpwobe,https://elise.vn/fs2309046bpwobe.html,QUẦN SUÔNG SẠN BE LY GIỮA KHÓA SAU,1.298.000 VND,{'001_QUẦN SUÔNG SẠN BE LY GIỮA KHÓA SAU': 'https://elise.vn/media/catalog/product/cache/f677d7e3a5087b6a18a5b1f320b78594/f/s/fs2309046bpwobe.jpg'}
